id;title;scanner_id;usual_duration_from_buy_till_expire;expire_means_bad;y;h
1;Steel;Assistant;57374;true;support navigate;Chilean reboot Dynamic
2;Track actuating deposit;Soap withdrawal;40879;true;partnerships Infrastructure;transmitting Niger Bedfordshire
3;Malagasy intranet;neutral;4184;false;Wooden;Identity throughput Village
4;distributed indigo JSON;Personal Steel;15779;false;Gambia;Crossroad CSS
5;De-engineered;Central Intelligent;88292;true;Cheese Renminbi;Consultant online
6;project hacking efficient;mobile metrics;95618;false;wireless sticky Harbors;Customer
7;Ergonomic Ergonomic;Handcrafted;27583;false;Consultant Automotive;Operations Chicken
8;Usability multi-byte;Kids IB;52857;true;Executive;magenta
9;National;Practical Solutions Caicosinseln;80985;false;Home Vista Bedfordshire;Tuna
10;system Practical;executive;79010;true;Sleek non-volatile Technician;convergence moratorium Stand-alone
