id;additional_project_permissions;role_in_project;added_timestamp
1;CLOSE_BILL;BILL_CONTRIBUTOR;2021-10-01T09:05:14
2;ADD_MEMBER;BILL_CONTRIBUTOR;2021-10-01T14:27:51
3;CLOSE_BILL;PROJECT_ADMIN;2021-10-01T15:07:33
4;ADD_MEMBER;BILL_CONTRIBUTOR;2021-09-30T22:08:40
5;CLOSE_PROJECT;PROJECT_ADMIN;2021-10-01T18:01:44
6;CLOSE_PROJECT;PROJECT_ADMIN;2021-09-30T21:00:44
7;ADD_MEMBER;PROJECT_ADMIN;2021-09-30T21:20:04
8;CLOSE_PROJECT;BILL_CONTRIBUTOR;2021-09-30T18:51:34
9;CLOSE_PROJECT;PROJECT_ADMIN;2021-10-01T07:17:19
10;CLOSE_PROJECT;BILL_CONTRIBUTOR;2021-09-30T20:38:41
