id;added_timestamp;storage_location;calculated_expiry_timestamp;manual_set_expiry_timestamp;product_id
1;2021-10-01T22:26:52;Rial cyan;2021-10-01T14:44:46;2021-10-01T19:03:47;1
2;2021-10-01T18:03:13;Consultant fuchsia;2021-10-01T19:40:06;2021-10-01T14:12:18;2
3;2021-10-02T04:21:35;Mauritius JBOD;2021-10-01T14:47:43;2021-10-02T03:42:34;3
4;2021-10-01T20:40:38;leverage Cotton;2021-10-01T10:37:41;2021-10-01T23:42:18;4
5;2021-10-01T13:32:09;synthesize Mountains Practical;2021-10-01T16:32:15;2021-10-01T23:03:52;5
6;2021-10-01T18:47:31;distributed plug-and-play wireless;2021-10-01T18:39:53;2021-10-01T16:55:36;6
7;2021-10-01T21:48:55;Rheinland-Pfalz;2021-10-02T07:53:08;2021-10-01T22:26:55;7
8;2021-10-02T01:22:29;compressing User-centric;2021-10-02T07:20:24;2021-10-01T12:34:36;8
9;2021-10-01T10:53:15;Representative feed software;2021-10-02T06:24:42;2021-10-01T12:36:29;9
10;2021-10-02T07:32:51;expedite;2021-10-01T23:24:17;2021-10-01T11:35:37;10
